Generación;Media;Maximo;Binarios;Minimo
1;0.550236657;0.834599079;111010011101111101010011100110;0.014693666
2;0.594526219;0.834599079;111010011101111101010011100110;0.14071608
3;0.677821823;0.834599079;111010011101111101010011100110;0.521022404
4;0.677665873;0.834602839;111010011101111101110110001000;0.521026999
5;0.649431295;0.944442981;111110001100100101111110100110;0.434781155
6;0.720770331;0.944443097;111110001100100101111111100110;0.521026998
7;0.703310558;0.944443097;111110001100100101111111100110;0.440317028
8;0.734061534;0.94509568;111110001101111101111111100110;0.439871721
9;0.773600068;0.94509568;111110001101111101111111100110;0.521027344
10;0.816005874;0.94509568;111110001101111101111111100110;0.521029971
11;0.804961253;0.94509568;111110001101111101111111100110;0.521030786
12;0.911824353;0.94509568;111110001101111101111111100110;0.833990627
13;0.900773202;0.945094767;111110001101111101110111101110;0.833990627
14;0.878004337;0.945094767;111110001101111101110111101110;0.717679806
15;0.911857038;0.945094767;111110001101111101110111101110;0.834153487
16;0.900763542;0.945094767;111110001101111101110111101110;0.834153487
17;0.922893946;0.945094767;111110001101111101110111101110;0.834146519
18;0.911809575;0.945094767;111110001101111101110111101110;0.834156995
19;0.922859026;0.945094767;111110001101111101110111101110;0.834156995
20;0.900719591;0.945094767;111110001101111101110111101110;0.834156873
21;0.9118078;0.945094767;111110001101111101110111101110;0.834101251
22;0.922952945;0.952228359;111110011100111101110110100110;0.827481037
23;0.934046699;0.952228475;111110011100111101110111100110;0.827481037
24;0.934760094;0.952228475;111110011100111101110111100110;0.827481037
25;0.946521449;0.952228472;111110011100111101110111100100;0.945094536
26;0.946569128;0.952704952;111110011101111101110111000110;0.94509471
27;0.947282501;0.952704952;111110011101111101110111000110;0.94509471
28;0.947282704;0.952705025;111110011101111101110111101110;0.94462014
29;0.947996088;0.952705025;111110011101111101110111101110;0.94462014
30;0.947329635;0.952705025;111110011101111101110111101110;0.944612725
31;0.947329643;0.952705054;111110011101111101110111111110;0.944612725
32;0.94813887;0.952705025;111110011101111101110111101110;0.945094767
33;0.948899896;0.952705025;111110011101111101110111101110;0.945094767
34;0.949660922;0.952705025;111110011101111101110111101110;0.945094767
35;0.94813887;0.952705025;111110011101111101110111101110;0.945094767
36;0.947377845;0.952705025;111110011101111101110111101110;0.945094767
37;0.946616819;0.952705025;111110011101111101110111101110;0.945094767
38;0.946613852;0.952705025;111110011101111101110111101110;0.9450651
39;0.948896929;0.952705025;111110011101111101110111101110;0.9450651
40;0.947327416;0.952705025;111110011101111101110111101110;0.944590479
41;0.947276976;0.952705025;111110011101111101110111101110;0.944590363
42;0.947226489;0.952705025;111110011101111101110111101110;0.944590363
43;0.945603603;0.952705025;111110011101111101110111101110;0.944590363
44;0.903956532;0.952697578;111110011101111100110111101110;0.521140169
45;0.94645583;0.952705025;111110011101111101110111101110;0.944590479
46;0.946397208;0.952705025;111110011101111101110111101110;0.944590479
47;0.947137374;0.952705025;111110011101111101110111101110;0.944590479
48;0.945683647;0.952466743;111110011101011101110111101110;0.944590479
49;0.94488712;0.945094767;111110001101111101110111101110;0.944590479
50;0.944937549;0.945094767;111110001101111101110111101110;0.944590479
51;0.944901953;0.945094796;111110001101111101110111111110;0.944590479
52;0.94489899;0.945094796;111110001101111101110111111110;0.944590479
53;0.944849859;0.945094796;111110001101111101110111111110;0.944590479
54;0.944851342;0.945094796;111110001101111101110111111110;0.944605309
55;0.944999665;0.945094796;111110001101111101110111111110;0.94462014
56;0.944952204;0.945094796;111110001101111101110111111110;0.94462014
57;0.945712848;0.95222849;111110011100111101110111101110;0.94462014
58;0.94566576;0.952705025;111110011101111101110111101110;0.944618286
59;0.944904734;0.945094767;111110001101111101110111101110;0.944618286
60;0.944851159;0.945094796;111110001101111101110111111110;0.944558966
61;0.944613917;0.945094796;111110001101111101110111111110;0.943196971
62;0.94762217;0.975236646;111111001100111101110111101110;0.943196971
63;0.94464321;0.945094796;111110001101111101110111111110;0.943196971
64;0.944500895;0.945094767;111110001101111101110111101110;0.943135844
65;0.944441199;0.945094767;111110001101111101110111101110;0.943135844
66;0.944102994;0.945094767;111110001101111101110111101110;0.943135844
67;0.943812437;0.945094767;111110001101111101110111101110;0.943135844
68;0.944399928;0.945094767;111110001101111101110111101110;0.943135844
69;0.944163246;0.945094767;111110001101111101110111101110;0.943135844
70;0.944121903;0.945094767;111110001101111101110111101110;0.943135844
71;0.94392601;0.945094767;111110001101111101110111101110;0.943135844
72;0.943774426;0.945035432;111110001101110101110111101110;0.943106207
73;0.944121705;0.945035432;111110001101110101110111101110;0.943135844
74;0.938291971;0.945035432;111110001101110101110111101110;0.885253912
75;0.932539201;0.945094652;111110001101111101110110101110;0.885253912
76;0.932536237;0.945035432;111110001101110101110111101110;0.884866324
77;0.932490299;0.945035432;111110001101110101110111101110;0.884794558
78;0.93870416;0.945035432;111110001101110101110111101110;0.884866324
79;0.938621102;0.945035432;111110001101110101110111101110;0.884866324
80;0.932497711;0.945035432;111110001101110101110111101110;0.884794558
81;0.932728758;0.945094767;111110001101111101110111101110;0.8848661
82;0.935750952;0.973730361;111111001001110101110111101110;0.8848661
83;0.941682025;0.973730361;111111001001110101110111101110;0.885253912
84;0.926946704;0.94510937;111110001101111111110101101110;0.885253912
85;0.920956491;0.94510937;111110001101111111110101101110;0.884866324
86;0.920981289;0.94510937;111110001101111111110101101110;0.884866324
87;0.926987839;0.94510937;111110001101111111110101101110;0.884866324
88;0.920736712;0.945035432;111110001101110101110111101110;0.884794558
89;0.92707654;0.945035432;111110001101110101110111101110;0.884866212
90;0.939064436;0.945035432;111110001101110101110111101110;0.885325697
91;0.939064436;0.945035432;111110001101110101110111101110;0.885325697
92;0.945035375;0.945035432;111110001101110101110111101110;0.945034969
93;0.945035375;0.945035432;111110001101110101110111101110;0.945034969
94;0.945035375;0.945035432;111110001101110101110111101110;0.945034969
95;0.945023507;0.945035432;111110001101110101110111101110;0.944916768
96;0.94504126;0.945094188;111110001101111101110010101110;0.945034969
97;0.945035431;0.945035432;111110001101110101110111101110;0.945035418
98;0.94503543;0.945035432;111110001101110101110111101110;0.945035418
99;0.945035431;0.945035432;111110001101110101110111101110;0.945035418
100;0.945022824;0.945035432;111110001101110101110111101110;0.944916768
101;0.945034691;0.945035432;111110001101110101110111101110;0.945028016
102;0.945035435;0.945035461;111110001101110101110111111110;0.945035432
103;0.945035438;0.945035461;111110001101110101110111111110;0.945035429
104;0.944656081;0.945035461;111110001101110101110111111110;0.941241896
105;0.943898851;0.945035461;111110001101110101110111111110;0.941241867
106;0.943709078;0.945035461;111110001101110101110111111110;0.941241867
107;0.944276537;0.945035461;111110001101110101110111111110;0.941241896
108;0.944276537;0.945035461;111110001101110101110111111110;0.941241896
109;0.944845668;0.945035461;111110001101110101110111111110;0.943137696
110;0.944655891;0.945035461;111110001101110101110111111110;0.943137696
111;0.944655891;0.945035461;111110001101110101110111111110;0.943137696
